Handle,Title,SKU,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,COO,HS Code
bookkeeping,BOOKKEEPING,72102909_006,Title,Default Title,,,,,,
cash-registers,CASH REGISTERS,72102909_007,Title,Default Title,,,,,,
clothes,PINTEREST E-SHOP,72102909_027,Title,Default Title,,,,,,
comics,COMICS,72102909_008,Title,Default Title,,,,,,
contract-work,CONTRACT WORK,72102909_009,Title,Default Title,,,,,,
cryptocurrency,CRYPTOCURRENCY,72102909_011,Title,Default Title,,,,,,
dedicated-projects,DEDICATED PROJECTS,72102909_013,Title,Default Title,,,,,,
design-porototype,DESIGN POROTOTYPE,72102909_014,Title,Default Title,,,,,,
engineering,ENGINEERING,72102909_015,Title,Default Title,,,,,,
extreme-sport,EXTREME SPORT,72102909_016,Title,Default Title,,,,,,
games,GAMES,72102909_017,Title,Default Title,,,,,,
investmental-advisory,INVESTMENTAL ADVISORY,72102909_018,Title,Default Title,,,,,,
limited-series,LIMITED SERIES,72102909_023,Title,Default Title,,,,,,
logistics,LOGISTICS,72102909_024,Title,Default Title,,,,,,
lyxury-goods,LYXURY GOODS,72102909_025,Title,Default Title,,,,,,
nutrition,NUTRITION,72102909_026,Title,Default Title,,,,,,
perfume,COSMETICS,72102909_010,Title,Default Title,,,,,,
port-service,PORT SERVICE,72102909_028,Title,Default Title,,,,,,
programming,PROGRAMMING,72102909_029,Title,Default Title,,,,,,
ship-building-and-design,SHIP BUILDING AND DESIGN,72102909_030,Title,Default Title,,,,,,
shoes,SHOES,72102909_031,Title,Default Title,,,,,,
software,SOFTWARE,72102909_032,Title,Default Title,,,,,,
sounds-systems,SOUNDS SYSTEMS,72102909_033,Title,Default Title,,,,,,
specialist-projects,SPECIALIST PROJECTS,72102909_034,Title,Default Title,,,,,,
start-up,CYFROWE ID,72102909_012,Title,Default Title,,,,,,
storage,STORAGE,72102909_035,Title,Default Title,,,,,,
zagle-gaastra,WINDSURFING SAILS,72102909_036,Title,Default Title,,,,,,
you-tube-clips-and-movie,YOU TUBE CLIPS AND MOVIE,72102909_037,Title,Default Title,,,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8474,Color,Heather Blue,Size,S,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8523,Color,Heather Raspberry,Size,S,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8516,Color,Heather Orange,Size,S,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8524,Color,Heather Raspberry,Size,M,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8475,Color,Heather Blue,Size,M,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8517,Color,Heather Orange,Size,M,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8525,Color,Heather Raspberry,Size,L,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8476,Color,Heather Blue,Size,L,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8518,Color,Heather Orange,Size,L,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8477,Color,Heather Blue,Size,XL,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8519,Color,Heather Orange,Size,XL,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8526,Color,Heather Raspberry,Size,XL,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8520,Color,Heather Orange,Size,2XL,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8527,Color,Heather Raspberry,Size,2XL,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8478,Color,Heather Blue,Size,2XL,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8521,Color,Heather Orange,Size,3XL,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8528,Color,Heather Raspberry,Size,3XL,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8479,Color,Heather Blue,Size,3XL,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8522,Color,Heather Orange,Size,4XL,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8529,Color,Heather Raspberry,Size,4XL,,,,
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,3801181_8480,Color,Heather Blue,Size,4XL,,,,
art-nft-gated,ART [NFT Gated],72102909_004,Title,Default Title,,,,,,
affiliate-programs,AFFILIATE PROGRAMS,72102909_001,Title,Default Title,,,,,,
architecture,ARCHITECTURE,72102909_002,Title,Default Title,,,,,,
art,ART,72102909_003,Title,Default Title,,,,,,
bikes,BIKES,72102909_005,Title,Default Title,,,,,,
